Indoor Catalogue Seeding Report
============================================================

Total products to process: 360
============================================================
  SKIP: ARC Shape Table (LF 7021) - already exists
  [IMG] CREATED: Textured Stepping Stones Set                            | SKU=LF 148          | Rs.13990.00 | [OK]
  [IMG] CREATED: Balance Path Stepping Stones                            | SKU=LF 149          | Rs. 4490.00 | [OK]
  [IMG] CREATED: Makarci Stepping Balance Stones                         | SKU=LF 150          | Rs. 2990.00 | [OK]
  [IMG] CREATED: Balance Wave (8-Bend Walkway)                           | SKU=LF 151          | Rs.10990.00 | [OK]
  [IMG] CREATED: FunStep Balance Builder                                 | SKU=LF 152          | Rs.14990.00 | [OK]
  [IMG] CREATED: Balance Rocker                                          | SKU=LF 153          | Rs. 1490.00 | [OK]
  [IMG] CREATED: Hover Spin Seat                                         | SKU=LF 161          | Rs. 4990.00 | [OK]
  [IMG] CREATED: Fish Hover Spin Seat                                    | SKU=LF 162          | Rs. 4990.00 | [OK]
  [IMG] CREATED: Kids Unity Stretch Band                                 | SKU=LF 164          | Rs. 2990.00 | [OK]
  [IMG] CREATED: Jump-Toss-Balance Activity Kit                          | SKU=LF 165          | Rs. 2990.00 | [OK]
  [IMG] CREATED: Single Layer Jump Bag                                   | SKU=LF 169          | Rs.  490.00 | [OK]
  [IMG] CREATED: Wooden Traffic Sign Set                                 | SKU=LF 167          | Rs.17990.00 | [OK]
  [IMG] CREATED: Flat Number Marker Plates                               | SKU=LF 170          | Rs. 2990.00 | [OK]
  [IMG] CREATED: Colorful Play Umbrella 9ft                              | SKU=LF 62           | Rs. 1990.00 | [OK]
  [IMG] CREATED: Colorful Play Umbrella 6.5ft                            | SKU=LF 62S          | Rs. 1190.00 | [OK]
  [IMG] CREATED: Learning Toy Set - LFT 21A                              | SKU=LFT 21A         | Rs.  450.00 | [OK]
  [IMG] CREATED: Learning Toy Set - LFT 22A                              | SKU=LFT 22A         | Rs.  450.00 | [OK]
  [IMG] CREATED: Learning Toy Set - LFT 23A                              | SKU=LFT 23A         | Rs.  450.00 | [OK]
  [IMG] CREATED: Learning Toy Set - LFT 24A                              | SKU=LFT 24A         | Rs.  450.00 | [OK]
  [IMG] CREATED: Learning Toy Set - LFT 25A                              | SKU=LFT 25A         | Rs.  450.00 | [OK]
  [IMG] CREATED: Learning Toy Set - LFT 26A                              | SKU=LFT 26A         | Rs.  450.00 | [OK]
